-4.354,-4.272,-2.747,-6.694,-0.326,-1.221,-1.099,-3.245,0.142,-2.299,-2.838,-1.048,-0.926,-4.232,-7.151,8.433,-2.604,2.696,-0.326,6.419,-0.275,0.315
-4.354,-4.272,-1.77,-4.74,-2.767,-1.709,-4.028,-6.663,-4.252,-4.74,-2.35,-2.024,-2.391,-5.697,-5.686,7.945,-1.139,1.231,2.604,4.954,0.702,0.804
-3.866,-7.202,-1.77,-5.717,-6.185,-4.15,-5.981,-9.593,-6.694,-6.694,-2.838,-3.001,-3.367,-6.185,-4.71,1.109,-0.651,1.231,0.163,6.907,2.167,1.292
-4.354,-12.573,-3.723,-6.694,-8.626,-6.592,-5.981,-9.593,-6.694,-7.67,-3.815,-3.489,-3.367,-7.65,-4.222,-10.122,0.326,0.743,-2.767,-2.37,3.143,1.78
-5.33,-17.944,-7.629,-4.252,-9.115,-8.545,-4.517,-7.151,-4.252,-7.182,-3.326,-3.001,-2.391,-9.115,-3.733,-19.399,-2.604,6.114,-4.232,1.536,3.143,1.292
-8.26,-19.409,-10.559,0.631,-7.65,-8.057,-3.052,-4.222,-1.322,-5.229,0.092,-1.536,-1.414,-7.65,-3.245,-20.376,-2.604,1.719,-3.743,-5.788,2.167,1.292
-11.678,-15.503,-11.536,4.537,-6.185,-6.592,-2.563,-2.268,-0.834,-2.299,3.998,-0.559,-1.414,-1.79,-0.804,-13.051,0.326,-0.234,3.092,3.977,1.19,1.78
-13.631,-8.179,-9.583,5.025,-5.208,-4.15,-3.052,-1.78,-2.299,-0.834,4.486,-0.559,-1.902,5.534,1.149,-1.821,0.326,-2.675,-0.814,-2.37,0.214,1.78
-13.143,-2.319,-6.653,0.631,-5.697,-3.174,-4.028,-2.268,-4.252,-0.346,0.58,-0.071,-2.391,8.464,1.638,6.48,0.814,-2.675,0.651,-4.323,-0.275,1.78
-10.701,-0.854,-4.7,-7.182,-6.185,-2.686,-3.54,-3.245,-5.229,-0.834,-6.744,-0.071,-1.902,4.557,-0.804,8.433,-2.604,0.743,-6.185,0.071,-0.275,0.804
-6.795,-3.296,-4.211,-14.506,-4.72,-2.686,-2.075,-2.757,-3.764,-2.299,-13.092,-0.071,-0.926,-4.232,-5.198,5.503,3.743,-3.652,2.116,-2.858,-0.275,-0.661
-3.866,-6.714,-4.7,-19.389,-1.79,-3.174,-0.122,-2.268,-1.322,-3.276,-14.069,-0.071,0.051,-12.044,-8.616,0.621,-0.651,1.231,-5.208,1.048,-0.275,-1.638
-1.424,-8.667,-3.723,-18.412,0.651,-3.662,0.854,-2.268,0.142,-3.764,-8.209,-0.559,1.027,-13.509,-9.104,-1.333,5.208,-2.187,-1.79,-1.882,0.214,-2.614
-0.936,-8.179,-1.282,-11.576,2.116,-3.662,0.366,-3.245,1.119,-3.764,-0.397,-1.048,1.027,-8.626,-6.175,0.132,1.302,-1.699,-0.326,-2.858,0.702,-2.126
-1.424,-5.249,1.16,-1.811,1.628,-4.15,-0.61,-4.222,0.142,-3.276,3.998,-1.536,1.027,-1.79,-3.245,2.574,-1.139,-0.722,5.046,-1.882,0.702,-1.638
-2.401,-1.831,1.648,7.467,-0.326,-2.686,-1.099,-4.222,-0.834,-2.787,3.021,-1.048,0.051,1.139,-2.757,4.527,-2.116,6.114,-4.72,6.419,0.702,-1.149
-2.889,0.61,-0.305,11.861,-1.79,-0.732,-0.61,-2.268,-1.322,-1.811,-2.35,-0.071,0.051,0.651,-4.222,6.48,-0.163,0.254,-1.79,0.071,0.214,-1.149
-3.377,1.587,-4.211,10.396,-2.279,0.732,0.366,-0.804,-1.811,-1.322,-6.256,0.905,0.051,-2.279,-5.198,8.433,0.814,-2.675,3.092,-4.812,-0.275,-1.149
-3.866,0.61,-6.653,5.025,-1.79,1.221,0.854,0.173,-1.322,-0.346,-6.744,0.905,0.051,-4.72,-4.222,10.874,6.673,-0.722,6.999,-2.37,-0.275,-1.149
-4.842,-3.784,-7.141,-1.811,-1.79,0.244,-0.122,0.173,-1.322,0.142,-4.303,0.417,0.051,-5.697,-1.292,12.339,-0.163,4.161,-7.65,-2.37,0.214,-1.149
-6.307,-9.644,-5.188,-8.158,-2.279,-2.197,-1.099,-0.804,-0.834,-0.346,-2.838,-0.559,-0.437,-6.185,0.173,10.874,-3.581,-2.187,-4.72,-2.37,1.19,-0.661
-5.819,-13.062,-2.258,-12.553,-2.279,-3.174,-1.099,-1.78,-0.346,-1.811,-4.791,-1.048,-0.437,-6.185,-1.78,5.503,-1.628,-1.211,-8.138,-0.417,1.678,-0.173
-4.354,-11.108,-2.258,-15.483,-2.279,-2.197,-1.099,-2.268,-0.346,-3.764,-8.698,-1.048,0.539,-5.208,-5.198,-0.844,0.814,-1.211,6.022,-1.394,1.678,-0.661
-2.401,-4.761,-3.723,-14.994,-0.814,-0.732,0.366,-2.757,-0.834,-5.717,-10.651,-1.048,0.539,-2.767,-8.616,-4.751,0.814,2.696,4.557,6.419,1.19,-0.661
-1.424,2.563,-6.165,-11.088,0.651,0.244,0.854,-3.245,-0.834,-5.229,-7.721,-1.048,1.027,-0.326,-8.616,-3.286,-1.628,1.719,4.069,2.513,1.19,-1.149
-2.401,6.47,-7.141,-3.276,1.139,-0.732,0.854,-3.733,-0.834,-3.276,-0.885,-1.048,1.027,0.163,-5.686,4.527,0.814,0.743,-2.279,0.559,0.702,-1.149
-3.377,4.517,-5.188,6.002,0.163,-2.197,-0.122,-3.733,-1.322,0.142,4.974,-1.048,0.051,-0.814,-2.268,13.804,-2.604,2.696,-4.232,3.489,0.702,-0.173
-5.33,-2.319,-1.282,13.814,-1.79,-3.662,-2.075,-3.733,-1.811,3.072,5.463,-1.048,-1.414,-2.767,0.173,21.128,0.326,-2.675,-7.161,-4.812,0.702,0.804
-6.307,-7.69,2.625,15.279,-3.743,-4.15,-3.052,-3.245,-3.276,3.072,0.58,-1.048,-1.902,-1.79,1.149,21.617,0.814,-2.675,-3.743,-5.3,1.19,1.292
-6.795,-9.155,3.601,10.885,-4.72,-2.686,-3.54,-2.757,-3.764,1.119,-5.28,-1.048,-2.391,2.604,1.638,15.757,-0.651,-1.699,1.628,-3.347,1.19,1.292
-7.772,-8.179,0.671,2.584,-4.72,-0.732,-2.563,-1.292,-3.764,-0.834,-8.698,-1.048,-1.414,8.952,1.149,6.968,-0.651,-0.234,1.628,-1.394,1.19,0.315
-8.26,-6.714,-5.188,-4.252,-3.255,0.244,-1.099,0.173,-2.299,-1.811,-7.233,-0.559,-0.437,10.905,0.173,0.621,-1.628,0.254,-7.65,-2.858,1.19,-0.661
-7.284,-7.69,-9.583,-5.717,-2.279,-0.244,-0.122,0.661,-0.346,-1.811,-2.838,-0.559,0.051,6.999,-2.268,-0.356,-0.163,3.184,5.046,-1.394,0.214,-1.638
-5.819,-10.62,-10.559,-2.787,-2.279,-2.197,-0.61,-0.315,0.142,-1.322,-0.397,-1.048,0.539,-1.79,-4.71,3.062,2.279,0.743,3.581,-6.276,-0.275,-2.126
-3.377,-12.085,-8.118,2.096,-2.767,-5.127,-1.099,-2.268,-0.834,-0.834,-2.838,-1.048,-0.437,-9.115,-6.175,8.433,-1.139,-1.211,-2.767,-3.347,-0.275,-1.638
-2.401,-9.644,-4.211,3.56,-3.255,-6.104,-2.075,-3.733,-2.299,-1.322,-8.698,-1.536,-1.414,-12.044,-5.686,13.316,-1.628,2.207,-5.208,1.048,0.214,-1.149
-2.889,-3.296,-1.282,0.142,-2.767,-5.615,-2.563,-3.245,-3.764,-1.811,-13.092,-1.048,-1.902,-9.603,-3.733,15.757,-0.163,-0.234,4.557,0.071,0.702,-0.173
-3.866,3.052,0.183,-6.205,-1.302,-1.709,-2.075,-1.292,-3.764,-1.322,-11.627,-0.559,-1.902,-5.697,-2.268,16.734,-3.092,1.231,-12.533,-0.417,0.702,-0.173
-3.866,7.446,-0.305,-10.111,0.651,2.686,-0.122,1.638,-2.299,0.142,-4.791,0.417,-0.926,-3.743,-2.268,15.757,0.814,-1.211,-7.65,-3.835,0.214,-0.661
-3.377,6.47,-0.793,-8.647,2.116,6.104,2.319,3.591,0.142,1.607,3.021,1.882,0.539,-4.72,-2.757,13.316,-6.51,2.696,-11.068,0.071,-0.275,-1.149
-2.401,3.052,-2.747,-2.299,2.116,6.104,3.296,3.103,2.096,3.072,6.439,1.882,1.516,-4.72,-2.757,10.386,-4.069,1.719,-10.579,-0.905,-1.251,-1.638
-2.401,-1.343,-3.723,5.025,1.628,4.15,3.296,2.614,3.072,3.072,3.021,1.882,1.516,-2.767,-1.292,8.433,-2.604,-1.699,-11.556,-6.765,-1.251,-2.126
-2.889,-5.249,-4.211,9.42,0.651,2.197,2.319,2.126,1.607,2.584,-3.326,1.882,1.027,1.628,-0.315,8.433,-2.604,1.231,-3.255,-4.812,-1.74,-2.126
-2.889,-6.714,-2.747,10.885,0.163,2.197,2.319,3.103,-0.834,2.096,-8.698,1.882,-0.437,5.046,-1.78,11.363,1.79,0.254,-9.115,-5.788,-2.228,-2.126
-1.912,-6.714,-0.793,7.955,1.139,4.15,2.319,6.032,-2.299,1.607,-10.651,2.858,-0.926,5.046,-5.686,13.804,-4.069,-1.211,-3.255,-6.765,-3.204,-2.614
1.017,-3.784,0.183,4.049,3.092,7.08,3.784,7.009,-2.787,1.119,-9.674,3.347,-0.437,2.116,-10.081,13.316,-3.581,-2.675,-11.068,-10.183,-4.181,-3.103
3.459,1.099,-1.282,-0.346,5.046,8.057,5.249,7.009,-0.834,0.631,-7.721,3.835,0.539,-0.326,-12.034,9.898,-3.092,2.696,-7.65,0.071,-4.181,-3.591
4.435,5.981,-4.7,-3.276,6.999,7.08,5.737,4.079,1.607,0.142,-6.256,3.347,1.516,-2.279,-10.081,4.527,-2.604,-1.211,-8.138,-8.23,-3.693,-4.567
3.947,8.423,-7.141,-6.205,6.999,4.639,5.249,1.149,3.072,-0.346,-4.303,2.858,2.492,-2.767,-7.151,1.109,-5.046,4.649,-5.697,-0.905,-2.716,-4.567
1.994,6.958,-4.7,-8.158,6.022,3.174,5.249,-0.804,3.56,-1.322,-1.373,2.858,2.004,-4.232,-4.71,2.574,-1.628,2.207,-5.208,-7.253,-1.74,-4.079
1.017,1.587,-1.282,-9.135,5.046,3.662,5.249,0.173,2.584,-2.299,2.533,2.858,2.004,-6.185,-3.733,6.968,-0.163,-3.164,-6.185,-1.394,-2.228,-3.591
0.041,-4.272,1.16,-7.67,4.069,4.639,5.249,2.126,1.607,-2.787,4.486,2.858,2.004,-7.65,-3.733,10.874,-1.139,-0.722,0.651,-2.37,-2.716,-3.103
-0.936,-7.202,-0.305,-3.764,3.581,5.127,5.249,4.567,1.119,-3.276,2.045,3.347,1.516,-9.115,-2.757,10.874,0.326,-4.628,-6.185,-7.741,-3.204,-2.614
-2.401,-5.249,-4.7,1.119,3.092,3.662,4.761,5.544,0.142,-2.787,-4.791,3.347,1.027,-10.091,-1.78,7.456,-1.628,-1.211,-2.279,-1.882,-3.693,-2.126
-2.889,0.122,-7.141,6.002,2.116,1.709,3.296,4.079,-1.322,-1.811,-13.092,2.37,0.051,-12.044,-2.268,3.062,-2.604,-2.187,-5.697,-4.812,-2.716,-1.638
-1.912,4.517,-6.653,8.443,0.651,0.244,1.343,1.149,-2.787,-1.322,-17.975,0.905,-0.926,-13.997,-4.71,-0.356,-4.069,1.719,-7.161,4.466,-1.74,-1.638
0.041,5.005,-2.747,6.978,-0.814,-0.244,0.366,-1.78,-3.764,-1.322,-16.51,-0.071,-0.926,-13.509,-8.128,-1.333,0.814,0.254,1.628,1.048,-0.763,-1.638
